dataset,n,M,metodo,tiempo
max-cant,23,150,BT-O,0.119632
max-cant,24,162,BT,0.143041
max-cant,24,162,BT-F,0.850633
max-cant,24,162,BT-O,0.134638
max-cant,25,175,BT,0.251868
max-cant,25,175,BT-F,1.32953
max-cant,25,175,BT-O,0.264709
max-cant,26,189,BT,0.310949
max-cant,26,189,BT-F,2.82483
max-cant,26,189,BT-O,0.315138
max-cant,27,203,BT,0.786485
max-cant,27,203,BT-F,4.09279
max-cant,27,203,BT-O,0.685128
max-cant,28,217,BT,1.23705
max-cant,28,217,BT-F,5.05365
max-cant,28,217,BT-O,1.28778
max-cant,29,232,BT,0.90729
max-cant,29,232,BT-F,8.53979
max-cant,29,232,BT-O,0.949602
max-cant,30,248,BT,1.47655
max-cant,30,248,BT-F,13.574
max-cant,30,248,BT-O,1.52141
max-cant,31,264,BT,1.77319
max-cant,31,264,BT-F,22.3213
max-cant,31,264,BT-O,1.81678
max-cant,32,280,BT,4.93413
max-cant,32,280,BT-F,35.4028
max-cant,32,280,BT-O,5.09574
max-cant,33,297,BT,5.59046
max-cant,33,297,BT-F,56.7469
max-cant,33,297,BT-O,5.48668
max-cant,34,315,BT,1.96917
max-cant,34,315,BT-F,95.0492
max-cant,34,315,BT-O,2.03868
max-cant,35,333,BT,9.61819
max-cant,35,333,BT-F,150.996
max-cant,35,333,BT-O,10.9066
max-cant,36,351,BT,13.5742
max-cant,36,351,BT-F,250.097
max-cant,36,351,BT-O,13.1685
max-cant,37,370,BT,21.2033
max-cant,37,370,BT-F,407.455
max-cant,37,370,BT-O,20.526
max-cant,38,390,BT,52.4454
max-cant,38,390,BT-F,650.792
max-cant,38,390,BT-O,53.2997
max-cant,39,410,BT,19.2822
max-cant,39,410,BT-F,1098.43
max-cant,39,410,BT-O,19.1898
max-cant,40,430,BT,46.0585
max-cant,40,430,BT-F,1745.86
max-cant,40,430,BT-O,56.1206
max-cant,41,451,BT,92.7759
max-cant,41,451,BT-F,3500.41
max-cant,41,451,BT-O,67.2866
max-cant,42,473,BT,52.137
max-cant,42,473,BT-F,4564.96
max-cant,42,473,BT-O,59.5625
max-cant,43,495,BT,242.67
max-cant,43,495,BT-F,7912.53
max-cant,43,495,BT-O,256.551
max-cant,44,517,BT,145.7
max-cant,44,517,BT-F,12750.6
max-cant,44,517,BT-O,134.45
max-cant,45,540,BT,187.696
max-cant,45,540,BT-F,21016.1
max-cant,45,540,BT-O,186.488
max-cant,46,564,BT,476.451
max-cant,46,564,BT-F,33973.9
max-cant,46,564,BT-O,537.267
min-cant,0,0,BT,0.001465
min-cant,0,0,BT-F,0.001886
min-cant,0,0,BT-O,0.001356
min-cant,1,1,BT,0.001369
min-cant,1,1,BT-F,0.001615
min-cant,1,1,BT-O,0.001814
min-cant,2,1,BT,0.001744
min-cant,2,1,BT-F,0.001328
min-cant,2,1,BT-O,0.001701
min-cant,3,2,BT,0.001456
min-cant,3,2,BT-F,0.001668
min-cant,3,2,BT-O,0.001611
min-cant,4,2,BT,0.001465
min-cant,4,2,BT-F,0.001422
min-cant,4,2,BT-O,0.001602
min-cant,5,3,BT,0.001701
min-cant,5,3,BT-F,0.001683
min-cant,5,3,BT-O,0.002372
min-cant,6,3,BT,0.001818
min-cant,6,3,BT-F,0.001555
min-cant,6,3,BT-O,0.002194
min-cant,7,4,BT,0.001985
min-cant,7,4,BT-F,0.00203
min-cant,7,4,BT-O,0.002456
min-cant,8,4,BT,0.002201
min-cant,8,4,BT-F,0.002201
min-cant,8,4,BT-O,0.003409
min-cant,9,5,BT,0.002124
min-cant,9,5,BT-F,0.002241
min-cant,9,5,BT-O,0.002916
min-cant,10,5,BT,0.002159
min-cant,10,5,BT-F,0.001988
min-cant,10,5,BT-O,0.004475
min-cant,11,6,BT,0.002853
min-cant,11,6,BT-F,0.002151
min-cant,11,6,BT-O,0.006002
min-cant,12,6,BT,0.002206
min-cant,12,6,BT-F,0.002282
min-cant,12,6,BT-O,0.007788
min-cant,13,7,BT,0.00353
min-cant,13,7,BT-F,0.002863
min-cant,13,7,BT-O,0.012046
min-cant,14,7,BT,0.003332
min-cant,14,7,BT-F,0.002885
min-cant,14,7,BT-O,0.016802
min-cant,15,8,BT,0.003939
min-cant,15,8,BT-F,0.002617
min-cant,15,8,BT-O,0.026478
min-cant,16,8,BT,0.004088
min-cant,16,8,BT-F,0.002124
min-cant,16,8,BT-O,0.039687
min-cant,17,9,BT,0.00423
min-cant,17,9,BT-F,0.003192
min-cant,17,9,BT-O,0.072464
min-cant,18,9,BT,0.003885
min-cant,18,9,BT-F,0.003489
min-cant,18,9,BT-O,0.090229
min-cant,19,10,BT,0.003126
min-cant,19,10,BT-F,0.001984
min-cant,19,10,BT-O,0.12777
min-cant,20,10,BT,0.004823
min-cant,20,10,BT-F,0.003578
